Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
02-03-2026,Chandanpur (CDAE) (12015),30328,DN (R),SR mode,,,Loco switched to SR mode,,"Station log doesn't show any FS to SR degradation for this loco at the mentioned station. Same is the case for Loco log, doesn't show any degradation to SR mode. ","Radio 1 RX: 4.53 MB
Radio 2 RX: 8.74 MB",,,
02-03-2026,Dankuni (DKAE) (12007),30328,DN (R),SR mode,KAVACH territory exit,,Loco switched to SR mode,4:05:20,Loco read Kavach territory exit tag and switched to SR Mode,"Radio 1 RX: 4.50 MB
Radio 2 RX: 1.52 KB",,,This is normal behaviour of kavach.
02-03-2026,Barddhaman Jn (BWN) (12028),30567,DN (R),LS mode,,,Loco switched to LS mode,3:27:14,"Need to check Loco Antennas, as LS modes were occurred mostly in every station.          







","Radio 1 RX: 21.76 MB
Radio 2 RX: 20.31 MB",,,
02-03-2026,Saktigarh (SKG) (12026),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 15.96 MB
Radio 2 RX: 8.25 MB",,,
02-03-2026,Masagram (MSAE) (12024),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 17.84 MB
Radio 2 RX: 869.00 KB",,,
02-03-2026,Baruipara (BRPA) (12011),30567,DN (R),LS mode,,,Loco switched to LS mode,4:26:00,,"Radio 1 RX: 6.01 MB
Radio 2 RX: 8.01 MB",,,
02-03-2026,Barddhaman Jn (BWN) (12028),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 21.76 MB
Radio 2 RX: 20.31 MB",,,
02-03-2026,Howrah (HWH) (12000),30567,UP (N),SR mode,SOM,,Loco switched to SR mode,10:02:52,"When the loco configuration was done, SOM SR authority was sent by station. After reading a known route Tag - 241 OS MA was sent by the station","Radio 1 RX: 1.77 MB
Radio 2 RX: 1.82 MB",,,
02-03-2026,Howrah Sorting Yard (SYAE) (12001),30567,DN (R),SR mode,,,Loco switched to SR mode,,No issue observed ,"Radio 1 RX: 2.09 MB
Radio 2 RX: 5.03 MB",,,
02-03-2026,Gurap (GRAE) (12020),30567,,,Tag Missing (Both Main & Duplicate Tags),,Tag Missing,,,,,,
02-03-2026,Belmuri (BMAE) (12017),35048,UP (N),SR mode,,,Loco switched to SR mode,15:12:42,"All station parameters are looking good, primary suspect is Radio intereference. ","Radio 1 RX: 9.55 MB
Radio 2 RX: 11.62 MB",,,
02-03-2026,Baruipara (BRPA) (12011),37268,UP (N),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,18:55:26,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 6.01 MB
Radio 2 RX: 8.01 MB",,,
02-03-2026,Barddhaman Jn (BWN) (12028),37268,,,Tag Missing (Both Main & Duplicate Tags),,Tag Missing,,,,,,
02-03-2026,Baruipara (BRPA) (12011),37272,DN (R),LS mode,,,Loco switched to LS mode,,No issue observed in either station or loco log.,"Radio 1 RX: 6.01 MB
Radio 2 RX: 8.01 MB",,,
02-03-2026,Janai Road (JOX) (12009),37610,UP (N),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,0:36:46,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 923.51 KB
Radio 2 RX: 6.04 MB",,,
02-03-2026,Dankuni (DKAE) (12007),37610,UP (N),SR mode,,,Loco switched to SR mode,0:16:04,"Loco was previously travelling in LS mode, due to no communication with the station, the loco further switched to SR ","Radio 1 RX: 4.50 MB
Radio 2 RX: 1.52 KB",,,
02-03-2026,LC-31 (KQU-CDAE) (12014),37879,,,Tag Missing (Both Main & Duplicate Tags),,Tag missing (Tag ID 60),,,,,,
03-03-2026,LC-31 (KQU-CDAE) (12014),30191,DN (R),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,9:45:14,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 18.54 MB
Radio 2 RX: 19.42 MB",,,
03-03-2026,Baruipara (BRPA) (12011),30191,DN (R),SR mode,,,Loco switched to SR mode,,No issue observed in both station and Loco logs. ,"Radio 1 RX: 979.77 KB
Radio 2 RX: 1.69 MB",,,
03-03-2026,LC-41 (CRAE-GRAE) (12019),30328,DN (R),LS mode,,,Loco switched to LS mode,7:49:34,"Loco failed to register with station on time as the loco regular sent by loco is not received by station for a brief moment, hence causing the loco to switch to LS Mode","Radio 1 RX: 4.58 MB
Radio 2 RX: 3.24 MB",,,
03-03-2026,Cheragram (CRAE) (12018),30328,DN (R),LS mode,,,Loco switched to LS mode,,"No issue observed in both station and Loco logs. All other radio parameters are also good, likely suspect Radio Intereference. ","Radio 1 RX: 1.46 MB
Radio 2 RX: 2.15 MB",,,
